"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000466","positive intrinsic curvature",51,16,5.97,"6.7e-05","0.0135"
"LION:0012009","lipid-mediated signalling",26,9,3.04,"0.0015","0.1515"
"LION:0000599","lysoglycerophospholipids",20,7,2.34,"0.0050","0.2303"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",86,18,10.06,"0.0056","0.2303"
"LION:0000063","monoacylglycerophosphoglycerols [GP0405]",4,3,0.47,"0.0057","0.2303"
"LION:0052781","PC(O-37:3)",3,2,0.35,"0.0375","1.0000"
"LION:0000164","PC(O-34:2)",7,3,0.82,"0.0380","1.0000"
"LION:0000174","PC(O-36:4)",4,2,0.47,"0.0693","1.0000"
"LION:0000185","PC(O-38:6)",4,2,0.47,"0.0693","1.0000"
"LION:0001373","PE(O-40:2)",4,2,0.47,"0.0693","1.0000"
"LION:0000093","headgroup with negative charge",103,17,12.05,"0.0715","1.0000"
"LION:0000014","glycerophosphoglycerols [GP04]",33,7,3.86,"0.0780","1.0000"
"LION:0000047","diacylglycerophosphoinositols [GP0601]",28,6,3.28,"0.0963","1.0000"
"LION:0000012","glycerophosphoinositols [GP06]",30,6,3.51,"0.1257","1.0000"
"LION:0022236","C17:2",17,4,1.99,"0.1262","1.0000"
"LION:0002929","C20:4",59,10,6.9,"0.1356","1.0000"
"LION:0000004","sphingolipids [SP]",6,2,0.7,"0.1484","1.0000"
"LION:0001355","PE(O-34:1)",6,2,0.7,"0.1484","1.0000"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",6,2,0.7,"0.1484","1.0000"
"LION:0022241","C19:0",6,2,0.7,"0.1484","1.0000"
"LION:0000042","monoacylglycerophosphoethanolamines [GP0205]",8,2,0.94,"0.2382","1.0000"
"LION:0002972","fatty acid with 4 double bonds",95,13,11.11,"0.3072","1.0000"
"LION:0000153","PC(O-32:0)",3,1,0.35,"0.3119","1.0000"
"LION:0000181","PC(36:3)",3,1,0.35,"0.3119","1.0000"
"LION:0000342","PE(36:3)",3,1,0.35,"0.3119","1.0000"
"LION:0000505","PG(36:3)",3,1,0.35,"0.3119","1.0000"
"LION:0052782","PC(O-37:4)",3,1,0.35,"0.3119","1.0000"
"LION:0092574","PS(37:1)",3,1,0.35,"0.3119","1.0000"
"LION:0002882","C16:0",112,15,13.1,"0.3176","1.0000"
"LION:0022229","C15:0",10,2,1.17,"0.3302","1.0000"
"LION:0080968","very low bilayer thickness",10,2,1.17,"0.3302","1.0000"
"LION:0002937","C22:6",33,5,3.86,"0.3404","1.0000"
"LION:0002959","fatty acid with 20 carbons",214,27,25.04,"0.3471","1.0000"
"LION:0002922","C18:1",142,18,16.61,"0.3887","1.0000"
"LION:0002974","fatty acid with 6 double bonds",35,5,4.09,"0.3904","1.0000"
"LION:0001735","very low transition temperature",27,4,3.16,"0.3905","1.0000"
"LION:0000152","PC(O-32:1)",4,1,0.47,"0.3928","1.0000"
"LION:0052759","PC(O-35:3)",4,1,0.47,"0.3928","1.0000"
"LION:0022231","C17:0",60,8,7.02,"0.4032","1.0000"
"LION:0000059","diacylglycerophosphoglycerols [GP0401]",29,4,3.39,"0.4468","1.0000"
"LION:0002956","fatty acid with 17 carbons",121,15,14.16,"0.4471","1.0000"
"LION:0080980","very high lateral diffusion",21,3,2.46,"0.4539","1.0000"
"LION:0012082","plasma membrane",46,6,5.38,"0.4565","1.0000"
"LION:0000165","PC(O-34:1)",5,1,0.58,"0.4643","1.0000"
"LION:0000175","PC(O-36:3)",5,1,0.58,"0.4643","1.0000"
"LION:0001283","PE(40:2)",5,1,0.58,"0.4643","1.0000"
"LION:0052758","PC(O-35:2)",5,1,0.58,"0.4643","1.0000"
"LION:0002925","C20:0",30,4,3.51,"0.4744","1.0000"
"LION:0000010","glycerophosphocholines [GP01]",212,25,24.8,"0.5273","1.0000"
"LION:0002976","fatty acid with more than 3 double bonds",195,23,22.81,"0.5283","1.0000"
"LION:0080973","below average bilayer thickness",60,7,7.02,"0.5699","1.0000"
"LION:0002926","C20:1",62,7,7.25,"0.6077","1.0000"
"LION:0002971","fatty acid with 3 double bonds",45,5,5.26,"0.6253","1.0000"
"LION:0002949","fatty acid with 19-21 carbons",247,28,28.9,"0.6365","1.0000"
