lipid_id	lipid_name	pmol_d00_2	pmol_d00_3	pmol_d00_4	pmol_d00_5	pmol_d03_1	pmol_d03_2	pmol_d03_3	pmol_d03_5	pmol_d07_1	pmol_d07_3	pmol_d07_4	pmol_d07_5	pmol_d14_1	pmol_d14_2	pmol_d14_3	pmol_d14_4	pmol_d14_5
CE 15:0;0	Sterol ester (27:1/15:0)													1.8458403482283		3.55334320875552		
CE 16:0;0	Sterol ester (27:1/16:0)							5.41428191631408	4.23375993021363	14.0142129137882	9.64475340891348	16.3218753654433	14.9783379881663	36.0271932783215	5.84981595378522	5.77030274351739	4.5229593977652	
CE 16:1;0	Sterol ester (27:1/16:1)											2.62699890707962		6.73482917127564				
CE 18:0;0	Sterol ester (27:1/18:0)											3.01432857976461	2.98567599597704	3.67981559978217				
CE 18:1;0	Sterol ester (27:1/18:1)						4.33310738722547	5.82780911324455	4.69583411136893	14.0368966139516	9.0400849256158	15.8593015006522	12.2582319320539	28.0626574406918	3.99162582901679	6.38820522816063	3.17467209404109	
CE 20:3;0	Sterol ester (27:1/20:3)													2.88440212080852				
CE 20:4;0	Sterol ester (27:1/20:4)									2.51465613196288		2.71164336264481		5.58500664916702				
CE 21:0;0	Sterol ester (27:1/21:0)															5.85935410661087		
CE 22:4;0	Sterol ester (27:1/22:4)													2.96922391771722				
CE 22:6;0	Sterol ester (27:1/22:6)									6.03076473808601	3.60492599577766	4.4652032157854	6.42733937577706	8.74351413582436	2.96227762552192			
CL 58:1;0	Cardiolipins												2.0575098991394					
CL 70:4;0	Cardiolipins					0.479510992765427			0.939043998718262			0.611977994441986		0.557488024234772	0.782447993755341		1.00697004795074	
CL 70:5;0	Cardiolipins													0.452868014574051				
CL 70:6;0	Cardiolipins						4.97307014465332											
CL 72:4;0	Cardiolipins		0.647866010665894	0.693518996238708	1.81138002872467	0.591907978057861		0.698050975799561				1.08188998699188		0.814375996589661		2.20522999763489	1.3324099779129	0.611268997192383
CL 72:5;0	Cardiolipins		0.482612013816833	0.761810004711151	1.71879994869232			0.632142007350922	0.879776000976562	0.706906974315643		1.22107005119324		0.667322993278503		1.49626994132996	1.19793999195099	0.558839023113251
CL 72:6;0	Cardiolipins		0.492789000272751		1.10638999938965	0.578167021274567			1.1657600402832	0.949976980686188	0.606715977191925	0.913875997066498	0.882623970508575	0.517439007759094	1.07122004032135	1.64468002319336	0.908927977085114	0.512256979942322
CL 72:7;0	Cardiolipins	1.15193998813629	0.480966001749039	0.985863983631134	1.68256998062134	0.930404007434845	2.35631990432739	0.491623014211655	1.47804999351501	1.04335999488831	1.08654999732971	1.03457999229431	1.16908001899719	0.420682996511459	1.54279005527496	2.4530200958252	1.72608995437622	0.748655021190643
CL 74:7;0	Cardiolipins								0.75066602230072									
CL 74:9;0	Cardiolipins	0.823953986167908			1.07349002361298	0.732704997062683	1.2496999502182		1.22967994213104				0.692210018634796	0.434092998504639	0.975912988185883	1.35795998573303	0.807362973690033	0.633047997951508
CL 74:10;0	Cardiolipins		0.453557014465332		0.926941990852356	0.61244398355484			0.995261013507843						1.06115996837616		0.88085001707077	
CL 76:9;0	Cardiolipins		0.604354023933411	0.69156801700592	1.3513799905777			0.682390987873077	1.01740002632141					0.741676986217499	1.12846994400024	2.1936399936676	1.39671003818512	
CL 76:10;0	Cardiolipins								1.64904999732971							3.16671991348267		
CL 76:11;0	Cardiolipins		1.00919997692108	0.972851991653442	1.56623005867004	0.787581026554108		0.69649600982666	1.6498099565506		0.716454029083252	1.170490026474	1.04812002182007	0.755149006843567	1.27824997901917	2.7341001033783	1.63264000415802	0.547613978385925
CL 76:12;0	Cardiolipins	1.16122996807098	0.539496004581451	0.587264001369476	0.854548990726471		2.26809000968933	0.508800983428955	1.20263004302979	0.740737974643707		0.604399025440216	0.812997996807098	0.562955021858215	1.0259200334549	1.9167799949646	1.18740999698639	
